feature,mutual_info,rf_importance,logreg_abs_coef,permutation_mean,avg_rank
hour,0.011203396394487367,0.44303582199923036,0.08190405502793893,0.03813333333333335,1.5
is_weekend,0.0010045981285911054,0.014835063066898649,0.32382349877213923,0.012266666666666677,2.75
day,0.017540759045121687,0.3665530522112364,0.013445103172353,0.010133333333333343,3.0
weekday,0.004912605472351478,0.14244173578593622,0.048435942774215895,-0.012800000000000011,3.75
time_segment_afternoon,7.847427413673613e-05,0.01115655285708568,0.01948499096391281,-0.00853333333333334,5.125
time_segment_morning,1.604620700201842e-08,0.01070527680888031,0.04425171119615709,-0.00853333333333334,5.625
time_segment_night,6.982673152203245e-05,0.011272497270732314,0.008756531021916932,-0.016000000000000014,6.25
