feature,mutual_info,rf_importance,logreg_abs_coef,permutation_mean,avg_rank
hour,0.0,0.47170904545736164,0.08222546515263078,0.029600000000000005,2.125
day,0.01112505898967342,0.3408409991103394,0.013401544088670593,0.01120000000000001,2.5
is_weekend,0.0,0.012700837139887077,0.3233942006170689,0.008266666666666674,3.875
weekday,0.0,0.13288412852759646,0.048299403268454555,-0.015200000000000014,4.125
time_segment_morning,0.0,0.019578087559765922,0.02634587825019353,0.00853333333333334,4.125
time_segment_night,0.00995986883078026,0.02228690220504943,0.009282815019560875,0.0034666666666666695,4.25
